"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1176","Menu Test","chromium","Sun May 18 20:22:01 IST 2025","passed","Sun May 18 20:22:02 IST 2025","Test Suite with Login","overallTest.spec.js","",""
"","1142","get started link","chromium","Sun May 18 21:20:16 IST 2025","passed","Sun May 18 21:20:17 IST 2025","","example.spec.js","",""
"","30215","Add to Cart Test","chromium","Sun May 18 20:21:24 IST 2025","broken","Sun May 18 20:21:54 IST 2025","Test Suite with Login","globalSetupToken.spec.js","",""
"","562","Login Test","chromium","Sun May 18 20:21:28 IST 2025","passed","Sun May 18 20:21:29 IST 2025","Test Suite with Login","overallTest.spec.js","",""
"","1391","Menu Test","chromium","Sun May 18 20:21:56 IST 2025","passed","Sun May 18 20:21:57 IST 2025","Test Suite with Login","globalSetupToken.spec.js","",""
"","30084","Menu Test","chromium","Sun May 18 20:21:26 IST 2025","broken","Sun May 18 20:21:56 IST 2025","","menu.spec.js","",""
"","30076","Add to Cart Test","chromium","Sun May 18 20:21:24 IST 2025","broken","Sun May 18 20:21:54 IST 2025","","addToCart.spec.js","",""
"","1905","Login Test","chromium","Sun May 18 20:21:24 IST 2025","passed","Sun May 18 20:21:25 IST 2025","","loginTest.spec.js","",""
"","30108","Add to Cart Test","chromium","Sun May 18 20:21:29 IST 2025","broken","Sun May 18 20:21:59 IST 2025","Test Suite with Login","overallTest.spec.js","",""
"","1822","has title","chromium","Sun May 18 21:20:14 IST 2025","passed","Sun May 18 21:20:16 IST 2025","","example.spec.js","",""
